"DAYSAHEAD","TARGETDATE","FORECASTDEMAND","CARDINALPOINT","CP_TYPE","CP_ST_TIME","CP_END_TIME","F_Point"
1,20241021,16695,"1F","F",30,30,""
1,20241021,16466,"1S","T",100,130,""
1,20241021,17320,"1A","P",200,230,""
1,20241021,15966,"4","F",400,400,""
1,20241021,15818,"1B","T",430,730,"Om"
1,20241021,27776,"2F","F",800,800,""
1,20241021,31342,"2A","P",830,1200,"DM"
1,20241021,29646,"2B","P",1230,1300,""
1,20241021,28654,"3B","T",1330,1630,"Dm"
1,20241021,33868,"3C","P",1700,1800,""
1,20241021,35387,"4B","P",1830,2000,"EM"
1,20241021,21956,"4C","F",2400,2400,""
